
 The calculation for [1mch3oh-e[0m used [1m20[0m levels

 T_kin  =  20.00    n(H_2) = 1.000000e+05    N(Mol) = 1.000000e+12
 T_dust =  10.00    N(H_2) = 0.000000e+00    delta_v = 1.000000e+00
 T_back = 100.00    beta_back  2.00    tau100mic =   1.00    Wback =   0.00
 T_e = 10000.00    EM = 1000000000.00    WHII =   0.0000

 Ji Ki vti Jf Kf vtf    T_ex        freq    tau(Back)    T_l(Back)     tau(HII)     T_l(HII)     T_bg             tau          T_l
  2 -1  0   1 -1  0    46.95  9.6739e+01   1.0413e-03   0.0000e+00   2.2177e-02   0.0000e+00  0.0000e+00   9.4744e-04  4.1336e-02
  0  0  0   1 -1  0     3.93  1.0889e+02   1.3194e-03   0.0000e+00   1.7296e-02   0.0000e+00  0.0000e+00   5.7795e-03  5.7541e-03
  1  0  0   1 -1  0     4.43  1.5727e+02   2.7520e-03   0.0000e+00   7.9929e-03   0.0000e+00  0.0000e+00   9.6037e-03  1.1324e-02
  1  0  0   2 -1  0     1.81  6.0531e+01   4.0768e-04   0.0000e+00   5.9361e-02   0.0000e+00  0.0000e+00   8.5743e-03  -6.6094e-03
  1  0  0   0  0  0     6.18  4.8377e+01   2.6040e-04   0.0000e+00   9.5044e-02   0.0000e+00  0.0000e+00   5.5624e-04  1.8832e-03
  3 -1  0   2 -1  0    10.61  1.4510e+02   2.3425e-03   0.0000e+00   9.4663e-03   0.0000e+00  0.0000e+00   7.7990e-03  5.3857e-02
  2  0  0   1 -1  0     5.43  2.5402e+02   7.1792e-03   0.0000e+00   2.9205e-03   0.0000e+00  0.0000e+00   3.5800e-03  4.6743e-03
  2  0  0   2 -1  0     3.52  1.5728e+02   2.7522e-03   0.0000e+00   7.9923e-03   0.0000e+00  0.0000e+00   1.5479e-02  7.7955e-03
  2  0  0   1  0  0     8.59  9.6745e+01   1.0414e-03   0.0000e+00   2.2174e-02   0.0000e+00  0.0000e+00   1.0182e-03  5.5612e-03
  2  0  0   3 -1  0     0.39  1.2179e+01   1.6503e-05   0.0000e+00   1.7215e+00   0.0000e+00  0.0000e+00   5.8029e-03  -1.3009e-02
  1  1  0   0  0  0     4.49  2.1343e+02   5.0682e-03   0.0000e+00   4.2096e-03   0.0000e+00  0.0000e+00   1.7092e-03  1.5836e-03
  1  1  0   1  0  0     4.15  1.6505e+02   3.0310e-03   0.0000e+00   7.2222e-03   0.0000e+00  0.0000e+00   1.6774e-03  1.5693e-03
  1  1  0   2  0  0     2.40  6.8306e+01   5.1912e-04   0.0000e+00   4.6058e-02   0.0000e+00  0.0000e+00   2.9030e-04  -7.6348e-05
  3  0  0   2 -1  0     4.68  3.0237e+02   1.0173e-02   0.0000e+00   2.0255e-03   0.0000e+00  0.0000e+00   7.0456e-03  4.3152e-03
  3  0  0   3 -1  0     3.08  1.5727e+02   2.7521e-03   0.0000e+00   7.9927e-03   0.0000e+00  0.0000e+00   1.1436e-02  2.5500e-03
  3  0  0   2  0  0     7.28  1.4509e+02   2.3424e-03   0.0000e+00   9.4667e-03   0.0000e+00  0.0000e+00   1.3120e-03  4.9491e-03
  2  1  0   1  0  0     4.93  2.6181e+02   7.6264e-03   0.0000e+00   2.7410e-03   0.0000e+00  0.0000e+00   1.7982e-03  1.7025e-03
  2  1  0   2  0  0     3.95  1.6506e+02   3.0314e-03   0.0000e+00   7.2212e-03   0.0000e+00  0.0000e+00   1.6496e-03  1.2966e-03
  2  1  0   1  1  0     7.27  9.6756e+01   1.0416e-03   0.0000e+00   2.2169e-02   0.0000e+00  0.0000e+00   1.2496e-04  5.2195e-04
  2  1  0   3  0  0     0.91  1.9967e+01   4.4361e-05   0.0000e+00   6.0952e-01   0.0000e+00  0.0000e+00   1.9664e-04  -3.4071e-04
  4 -1  0   3 -1  0     9.16  1.9344e+02   4.1635e-03   0.0000e+00   5.1750e-03   0.0000e+00  0.0000e+00   7.5304e-03  3.7345e-02
  4 -1  0   3  0  0    -1.21  3.6169e+01   1.4556e-04   0.0000e+00   1.7504e-01   0.0000e+00  0.0000e+00  -2.6251e-03  1.1051e-02
  2  2  0   1  1  0    52.00  1.2169e+02   1.6477e-03   0.0000e+00   1.3697e-02   0.0000e+00  0.0000e+00   6.6685e-05  3.2261e-03
  2  2  0   2  1  0    -2.27  2.4934e+01   6.9176e-05   0.0000e+00   3.8229e-01   0.0000e+00  0.0000e+00  -1.2945e-04  6.5615e-04
  2 -2  0   1 -1  0     3.45  5.2018e+02   3.0107e-02   0.0000e+00   6.4825e-04   0.0000e+00  0.0000e+00   2.3959e-02  3.6685e-04
  2 -2  0   2 -1  0     2.85  4.2344e+02   1.9950e-02   0.0000e+00   9.9862e-04   0.0000e+00  0.0000e+00   1.2204e-02  6.2384e-05
  2 -2  0   3 -1  0     2.06  2.7834e+02   8.6202e-03   0.0000e+00   2.4102e-03   0.0000e+00  0.0000e+00   1.2426e-03  -9.3275e-05
  3  1  0   2  0  0     4.81  3.1019e+02   1.0706e-02   0.0000e+00   1.9197e-03   0.0000e+00  0.0000e+00   1.4414e-03  9.3203e-04
