CH3OH: E species energy levels

 J  K  V lab    Energy(s-1)

 1 -1  0  1    0.000000E+00
 2 -1  0  2    3.226878E+00
 0  0  0  3    3.632310E+00
 1  0  0  4    5.245990E+00
 3 -1  0  5    8.066808E+00
 2  0  0  6    8.473041E+00
 1  1  0  7    1.075147E+01
 3  0  0  8    1.331285E+01
 2  1  0  9    1.397889E+01
 4 -1  0 10    1.451933E+01
 2  2  0 11    1.481061E+01
 2 -2  0 12    1.735130E+01
 3  1  0 13    1.881997E+01
 3  2  0 14    1.965150E+01
 4  0  0 15    1.976449E+01
 3 -2  0 16    2.219220E+01
 5 -1  0 17    2.258381E+01
 4  1  0 18    2.527465E+01
 4  2  0 19    2.610634E+01
 5  0  0 20    2.782674E+01
 4 -2  0 21    2.864704E+01
 6 -1  0 22    3.225950E+01
 5  1  0 23    3.334287E+01
 5  2  0 24    3.417541E+01
 5 -2  0 25    3.671609E+01
 3  3  0 26    3.735198E+01
 6  0  0 27    3.749808E+01
 6  1  0 28    4.302452E+01
 7 -1  0 29    4.354546E+01
 4  3  0 30    4.380560E+01
 6  2  0 31    4.385904E+01
 6 -2  0 32    4.639970E+01
 3 -3  0 33    4.777598E+01
 7  0  0 34    4.877669E+01
 5  3  0 35    5.187263E+01
 4 -3  0 36    5.423007E+01
 7  1  0 37    5.431950E+01
 7  2  0 38    5.515758E+01
 8 -1  0 39    5.644062E+01
 7 -2  0 40    5.769828E+01
 6  3  0 41    6.155310E+01
 8  0  0 42    6.166053E+01
 5 -3  0 43    6.229740E+01
 8  1  0 44    6.722767E+01
 8  2  0 45    6.807140E+01
 8 -2  0 46    7.061234E+01
 4 -4  0 47    7.174043E+01
 6 -3  0 48    7.197775E+01
 7  3  0 49    7.284702E+01
 4  4  0 50    7.736632E+01
 5 -4  0 51    7.980645E+01
 7 -3  0 52    8.327090E+01
 5  4  0 53    8.543289E+01
 8  3  0 54    8.575441E+01
 6 -4  0 55    8.948522E+01
 6  4  0 56    9.511236E+01
 8 -3  0 57    9.617655E+01
 7 -4  0 58    1.007765E+02
 5 -5  0 59    1.049039E+02
 7  4  0 60    1.064045E+02
 5  5  0 61    1.132856E+02
 8 -4  0 62    1.136800E+02
 6 -5  0 63    1.145812E+02
 8  4  0 64    1.193091E+02
 6  5  0 65    1.229636E+02
 7 -5  0 66    1.258709E+02
 7  5  0 67    1.342539E+02
 8 -5  0 68    1.387728E+02
 8  5  0 69    1.471563E+02
 6  6  0 70    1.526656E+02
 6 -6  0 71    1.597237E+02
 7  6  0 72    1.639536E+02
 7 -6  0 73    1.710126E+02
 8  6  0 74    1.768533E+02
 8 -6  0 75    1.839134E+02
 7  7  0 76    2.132993E+02
 7 -7  0 77    2.205290E+02
 8  7  0 78    2.261977E+02
 8 -7  0 79    2.334285E+02
 8 -8  0 80    2.759957E+02
 8  8  0 81    2.854770E+02
