
 The calculation for [1mco[0m used [1m29[0m levels

 T_kin  =  10.00    n(H_2) = 1.000000e+01    N(Mol) = 1.000000e+01
 T_dust =   1.00    N(H_2) = 1.000000e+00    delta_v = 1.010000e+02
 T_back =   1.00    beta_back901901.00    tau100mic = 191.00    Wback =  91.00
 T_e =  19.00    EM =  19.00    WHII =  19.0000
 T_cosmic = 191.00

 Ji  Jf    T_ex        freq    tau(Back)    T_l(Back)     tau(HII)     T_l(HII)     T_bg             tau          T_l
  1  0     8.19  1.1527e+02   0.0000e+00   0.0000e+00   1.3756e-06   4.2780e-04  4.2780e-04   1.5741e-47  -0.0000e+00
  2  1     5.12  2.3054e+02   0.0000e+00   0.0000e+00   3.2087e-07   8.5362e-05  8.5362e-05   2.8870e-47  -0.0000e+00
  3  2     1.67  3.4580e+02   0.0000e+00   0.0000e+00   1.3696e-07   3.0952e-05  3.0952e-05   5.6270e-48  -0.0000e+00
  4  3   -20.93  4.6104e+02   0.0000e+00   0.0000e+00   7.4860e-08   1.4276e-05  1.4276e-05  -6.8724e-52  -0.0000e+00
  5  4    -0.35  5.7627e+02   0.0000e+00   0.0000e+00   4.6858e-08   7.4905e-06  7.4905e-06  -6.7915e-17  -0.0000e+00
  6  5     4.30  6.9147e+02   0.0000e+00   0.0000e+00   3.1958e-08   4.2553e-06  4.2553e-06   8.1461e-17  -1.9415e-14
  7  6     4.30  8.0665e+02   0.0000e+00   0.0000e+00   2.3124e-08   2.5493e-06  2.5493e-06   4.2645e-20  -0.0000e+00
  8  7     0.45  9.2180e+02   0.0000e+00   0.0000e+00   1.7473e-08   1.5857e-06  1.5857e-06   6.0538e-24  -0.0000e+00
  9  8    -0.66  1.0369e+03   0.0000e+00   0.0000e+00   1.3647e-08   1.0140e-06  1.0140e-06  -2.2331e-33  -0.0000e+00
 10  9     4.30  1.1520e+03   0.0000e+00   0.0000e+00   1.0941e-08   6.6224e-07  6.6224e-07   2.4812e-33  -0.0000e+00
 11 10     0.75  1.2670e+03   0.0000e+00   0.0000e+00   8.9590e-09   4.3963e-07  4.3963e-07   7.2114e-39  -0.0000e+00
 12 11    -1.29  1.3820e+03   0.0000e+00   0.0000e+00   7.4651e-09   2.9568e-07  2.9568e-07  -1.1723e-51  -0.0000e+00
 13 12     1.03  1.4969e+03   0.0000e+00   0.0000e+00   6.3122e-09   2.0099e-07  2.0099e-07   1.2700e-51  -0.0000e+00
 14 13    -2.21  1.6118e+03   0.0000e+00   0.0000e+00   5.4044e-09   1.3781e-07  1.3781e-07  -1.2113e-66  -0.0000e+00
 15 14     1.53  1.7266e+03   0.0000e+00   0.0000e+00   4.6773e-09   9.5184e-08  9.5184e-08   1.2979e-66  -0.0000e+00
 16 15     9.15  1.8413e+03   0.0000e+00   0.0000e+00   4.0862e-09   6.6152e-08  6.6152e-08   4.2292e-90  -0.0000e+00
 17 16   -42.33  1.9560e+03   0.0000e+00   0.0000e+00   3.5993e-09   4.6220e-08  4.6220e-08  -2.3439e-93  -0.0000e+00
 18 17     4.30  2.0706e+03   0.0000e+00   0.0000e+00   3.1937e-09   3.2443e-08  3.2443e-08   2.7849e-93  -0.0000e+00
 19 18     4.30  2.1851e+03   0.0000e+00   0.0000e+00   2.8523e-09   2.2866e-08  2.2866e-08  2.7680e-103  -0.0000e+00
 20 19    54.19  2.2996e+03   0.0000e+00   0.0000e+00   2.5624e-09   1.6174e-08  1.6174e-08  6.6544e-114  -0.0000e+00
 21 20     4.21  2.4139e+03   0.0000e+00   0.0000e+00   2.3141e-09   1.1478e-08  1.1478e-08  1.0482e-114  -0.0000e+00
 22 21     4.30  2.5282e+03   0.0000e+00   0.0000e+00   2.0999e-09   8.1695e-09  8.1695e-09  1.2648e-126  -0.0000e+00
 23 22     4.30  2.6423e+03   0.0000e+00   0.0000e+00   1.9139e-09   5.8302e-09  5.8302e-09  7.5800e-139  -0.0000e+00
 24 23     4.30  2.7564e+03   0.0000e+00   0.0000e+00   1.7514e-09   4.1709e-09  4.1709e-09  1.2698e-151  -0.0000e+00
 25 24     4.30  2.8703e+03   0.0000e+00   0.0000e+00   1.6086e-09   2.9906e-09  2.9906e-09  5.9533e-165  -0.0000e+00
 26 25     4.30  2.9842e+03   0.0000e+00   0.0000e+00   1.4824e-09   2.1489e-09  2.1489e-09  7.8221e-179  -0.0000e+00
 27 26     4.30  3.0979e+03          inf   3.6267e-61   1.3704e-09   1.5471e-09  1.5471e-09  2.8841e-193  -0.0000e+00
 28 27     4.30  3.2115e+03          inf   1.6113e-63   1.2706e-09   1.1160e-09  1.1160e-09  2.9882e-208  -0.0000e+00


